Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",AJ Fletcher,AJ Fletcher,Themba Gorimbo,0-0,7-6,0-2,1-0,Welterweight,SUB-Guillotine-Choke,2,1:37
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Clayton Carpenter,Clayton Carpenter,Juancamilo Ronderos,0-0,3-1,0-1,3-0,Flyweight,SUB-Rear-Naked-Choke,1,3:13
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Islam Makhachev,Islam Makhachev,Alexander Volkanovski,0-1,57-70,4-0,0-0,Lightweight,U-DEC,5,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Yair Rodriguez,Yair Rodriguez,Josh Emmett,0-0,62-22,0-1,1-0,Featherweight,SUB-Triangle-Choke,2,4:19
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jack Della Maddalena,Jack Della Maddalena,Randy Brown,1-0,14-11,0-0,1-0,Welterweight,SUB-Rear-Naked-Choke,1,2:13
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Justin Tafa,Justin Tafa,Parker Porter,1-0,8-7,0-0,0-0,Heavyweight,KO/TKO-Punch,1,1:06
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Draw,Jimmy Crute,Alonzo Menifield,0-2,31-56,6-0,3-0,Light Heavyweight,M-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Modestas Bukauskas,Modestas Bukauskas,Tyson Pedro,0-0,44-45,0-2,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Josh Culibao,Josh Culibao,Melsik Baghdasaryan,0-0,16-26,0-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,2:02
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Kleydson Rodrigues,Kleydson Rodrigues,Shannon Ross,1-0,14-1,0-0,0-0,Flyweight,KO/TKO-Punches,1,0:59
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jamie Mullarkey,Jamie Mullarkey,Francisco Prado,0-0,59-28,3-0,0-1,Lightweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jack Jenkins,Jack Jenkins,Don Shainis,0-0,82-50,4-1,0-2,Featherweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Loma Lookboonmee,Loma Lookboonmee,Elise Reed,0-0,17-17,2-0,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,2,0:44
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Blake Bilder,Blake Bilder,Shane Young,0-0,111-80,1-0,0-0,Featherweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Elves Brener,Elves Brener,Zubaira Tukhugov,0-0,69-70,0-0,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Serghei Spivac,Serghei Spivac,Derrick Lewis,0-0,12-0,6-0,1-0,Heavyweight,SUB-Arm-Triangle,1,3:05
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Devin Clark,Devin Clark,Da Woon Jung,0-0,39-18,3-1,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Marcin Tybura,Marcin Tybura,Blagoy Ivanov,0-0,40-34,1-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Draw,Dooho Choi,Kyle Nelson,0-0,50-20,0-5,0-0,Featherweight,M-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Adam Fugitt,Adam Fugitt,Yusaku Kinoshita,0-0,21-10,4-0,0-0,Welterweight,KO/TKO-Elbows,1,4:36
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Anshul Jubli,Anshul Jubli,Jeka Saragih,0-0,38-14,2-0,1-0,Lightweight,KO/TKO-Elbows,2,3:44
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",JeongYeong Lee,JeongYeong Lee,Yizha,0-0,25-24,0-5,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Rinya Nakamura,Rinya Nakamura,Toshiomi Kazama,2-0,11-4,0-0,0-0,Bantamweight,KO/TKO-Punch,1,0:33
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",HyunSung Park,HyunSung Park,SeungGuk Choi,0-1,38-20,1-0,3-0,Flyweight,SUB-Rear-Naked-Choke,3,3:11
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",JunYong Park,JunYong Park,Denis Tiuliulin,0-0,25-8,1-0,1-0,Middleweight,SUB-Rear-Naked-Choke,1,4:05
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Tatsuro Taira,Tatsuro Taira,Jesus Aguilar,0-0,1-2,1-0,2-1,Flyweight,SUB-Triangle-Armbar,1,4:20
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jamahal Hill,Jamahal Hill,Glover Teixeira,0-0,232-75,0-2,0-0,Light Heavyweight,U-DEC,5,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Brandon Moreno,Brandon Moreno,Deiveson Figueiredo,0-0,48-19,3-1,0-2,Flyweight,KO/TKO,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Gilbert Burns,Gilbert Burns,Neil Magny,0-0,5-4,1-0,1-0,Welterweight,SUB-Arm-Triangle,1,4:15
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jessica Andrade,Jessica Andrade,Lauren Murphy,0-0,231-100,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Johnny Walker,Johnny Walker,Paul Craig,1-0,16-3,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,2:16
UFC 283: Teixeira vs. Hill,"January 21, 2023",Ihor Potieria,Ihor Potieria,Mauricio Rua,1-0,21-17,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,4:05
UFC 283: Teixeira vs. Hill,"January 21, 2023",Brunno Ferreira,Brunno Ferreira,Gregory Rodrigues,1-0,22-21,0-0,0-0,Middleweight,KO/TKO-Punch,1,4:13
UFC 283: Teixeira vs. Hill,"January 21, 2023",Thiago Moises,Thiago Moises,Melquizael Costa,0-0,22-23,4-0,1-0,Lightweight,SUB-Rear-Naked-Choke,2,4:05
UFC 283: Teixeira vs. Hill,"January 21, 2023",Gabriel Bonfim,Gabriel Bonfim,Mounir Lazzez,0-0,9-9,0-0,1-0,Welterweight,SUB-Guillotine-Choke,1,0:49
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jailton Almeida,Jailton Almeida,Shamil Abdurakhimov,0-0,45-1,3-0,0-0,Heavyweight,KO/TKO-Punches,2,2:56
UFC 283: Teixeira vs. Hill,"January 21, 2023",Cody Stamann,Cody Stamann,Luan Lacerda,0-0,103-80,0-1,0-0,Bantamweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Ismael Bonfim,Ismael Bonfim,Terrance McKinney,1-0,34-14,1-0,0-0,Lightweight,KO/TKO-Flying-Knee,2,2:17
UFC 283: Teixeira vs. Hill,"January 21, 2023",Nicolas Dalby,Nicolas Dalby,Warlley Alves,0-0,119-66,0-1,0-0,Welterweight,S-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Josiane Nunes,Josiane Nunes,Zarah Fairn,0-0,102-117,0-0,0-0,Women's Featherweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Daniel Marcos,Daniel Marcos,Saimon Oliveira,1-0,53-23,0-0,0-0,Bantamweight,KO/TKO-Knees,2,2:18
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Sean Strickland,Sean Strickland,Nassourdine Imavov,0-0,182-123,1-0,0-0,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Dan Ige,Dan Ige,Damon Jackson,1-0,34-36,1-0,0-0,Featherweight,KO/TKO-Punch,2,4:13
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Roman Kopylov,Roman Kopylov,Punahele Soriano,0-0,82-39,1-0,0-0,Middleweight,KO/TKO-Kick,2,3:19
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Raquel Pennington,Raquel Pennington,Ketlen Vieira,0-0,81-64,0-0,0-0,Women's Bantamweight,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Umar Nurmagomedov,Umar Nurmagomedov,Raoni Barcelos,1-0,36-13,0-0,0-0,Bantamweight,KO/TKO-Punch,1,4:40
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Javid Basharat,Javid Basharat,Mateus Mendonca,0-0,95-29,3-2,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Abdul Razak Alhassan,Abdul Razak Alhassan,Claudio Ribeiro,1-0,17-19,0-0,0-0,Middleweight,KO/TKO-Punches,2,0:28
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Mateusz Rebecki,Mateusz Rebecki,Nick Fiore,0-0,89-34,3-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Allan Nascimento,Allan Nascimento,Carlos Hernandez,0-0,6-3,2-0,1-0,Flyweight,SUB-Rear-Naked-Choke,1,3:16
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Dan Argueta,Dan Argueta,Nick Aguirre,0-0,47-14,4-0,2-1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Charles Johnson,Charles Johnson,Jimmy Flick,0-0,34-7,0-1,0-0,Flyweight,KO/TKO-Punches,1,4:33
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Jared Cannonier,Jared Cannonier,Sean Strickland,0-0,141-152,0-1,0-0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Arman Tsarukyan,Arman Tsarukyan,Damir Ismagulov,0-0,34-36,7-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Amir Albazi,Amir Albazi,Alessandro Costa,2-0,37-17,1-0,0-0,Flyweight,KO/TKO-Punch,3,2:13
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Alex Caceres,Alex Caceres,Julian Erosa,1-0,16-10,0-0,0-0,Featherweight,KO/TKO-Kick,1,3:04
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Drew Dober,Drew Dober,King Green,1-0,34-73,0-0,0-0,Lightweight,KO/TKO-Punch,2,2:45
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Michal Oleksiejczuk,Michal Oleksiejczuk,Cody Brundage,0-0,15-0,0-3,0-0,Middleweight,KO/TKO-Punch,1,3:16
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Cory McKenna,Cory McKenna,Cheyanne Vlismas,0-0,22-33,2-0,0-1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Matthew Semelsberger,Matthew Semelsberger,Jake Matthews,3-0,45-32,3-1,0-1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Said Nurmagomedov,Said Nurmagomedov,Saidyokub Kakhramonov,0-0,7-11,0-5,3-1,Bantamweight,SUB-Guillotine-Choke,2,3:50
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Rafa Garcia,Rafa Garcia,Maheshate,0-0,49-25,6-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Rinat Fakhretdinov,Rinat Fakhretdinov,Bryan Battle,1-0,43-3,7-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Manel Kape,Manel Kape,David Dvorak,1-0,58-33,0-2,2-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Sergey Morozov,Sergey Morozov,Journey Newson,0-0,30-26,6-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Draw,Jan Blachowicz,Magomed Ankalaev,0-0,55-78,0-2,0-0,Light Heavyweight,S-DEC,5,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Paddy Pimblett,Paddy Pimblett,Jared Gordon,0-0,63-60,0-3,0-0,Lightweight,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Santiago Ponzinibbio,Santiago Ponzinibbio,Alex Morono,1-1,66-38,0-0,0-0,Catch Weight,KO/TKO-Punches,3,2:29
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Dricus Du Plessis,Dricus Du Plessis,Darren Till,0-0,86-35,6-1,3-0,Middleweight,SUB-Neck-Crank,3,2:43
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Ilia Topuria,Ilia Topuria,Bryce Mitchell,1-0,40-36,0-1,1-0,Featherweight,SUB-Arm-Triangle,2,3:10
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Raul Rosas Jr.,Raul Rosas Jr.,Jay Perrin,0-0,3-4,2-0,2-0,Bantamweight,SUB-Neck-Crank,1,2:44
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Jairzinho Rozenstruik,Jairzinho Rozenstruik,Chris Daukaus,1-0,12-1,0-0,0-0,Heavyweight,KO/TKO-Punch,1,0:23
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Edmen Shahbazyan,Edmen Shahbazyan,Dalcha Lungiambula,0-0,54-23,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:41
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Chris Curtis,Chris Curtis,Joaquin Buckley,1-0,36-50,0-0,0-0,Middleweight,KO/TKO-Punch,2,2:49
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Billy Quarantillo,Billy Quarantillo,Alexander Hernandez,0-0,87-48,2-2,0-1,Featherweight,KO/TKO-Punches,2,4:30
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",TJ Brown,TJ Brown,Erik Silva,0-0,24-21,2-3,1-0,Featherweight,SUB-Arm-Triangle,3,3:41
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Cameron Saaiman,Cameron Saaiman,Steven Koslow,0-0,53-11,0-5,0-1,Bantamweight,KO/TKO-Punches,3,4:13
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Stephen Thompson,Stephen Thompson,Kevin Holland,0-0,163-119,0-2,0-0,Welterweight,KO/TKO,4,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Rafael Dos Anjos,Rafael Dos Anjos,Bryan Barberena,0-0,20-14,4-0,2-0,Welterweight,SUB-Rear-Naked-Choke,2,3:20
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Matheus Nicolau,Matheus Nicolau,Matt Schnell,2-0,32-20,1-0,0-0,Flyweight,KO/TKO-Punch,2,1:44
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Sergei Pavlovich,Sergei Pavlovich,Tai Tuivasa,2-0,23-2,0-0,0-0,Heavyweight,KO/TKO-Punches,1,0:54
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Roman Dolidze,Roman Dolidze,Jack Hermansson,0-0,25-47,0-2,3-0,Middleweight,KO/TKO-Punches,2,4:06
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Eryk Anders,Eryk Anders,Kyle Daukaus,1-0,49-37,1-0,0-0,Middleweight,KO/TKO-Punches,2,2:45
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Phil Rowe,Phil Rowe,Niko Price,0-0,63-110,1-0,2-0,Welterweight,KO/TKO-Punches,3,3:26
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Angela Hill,Angela Hill,Emily Ducote,0-0,182-71,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Clay Guida,Clay Guida,Scott Holtzman,0-0,66-65,4-0,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Michael Johnson,Michael Johnson,Marc Diakiese,0-0,83-55,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Jonathan Pearce,Jonathan Pearce,Darren Elkins,0-0,110-57,2-2,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Natan Levy,Natan Levy,Genaro Valdez,0-0,67-49,6-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Francis Marshall,Francis Marshall,Marcelo Rojo,1-0,23-31,1-0,0-0,Featherweight,KO/TKO-Punch,2,1:14
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Yazmin Jauregui,Yazmin Jauregui,Istela Nunes,2-1,67-36,0-0,0-0,Women's Strawweight,KO/TKO-Punches,2,4:06
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Kennedy Nzechukwu,Kennedy Nzechukwu,Ion Cutelaba,1-0,24-9,0-2,0-0,Light Heavyweight,KO/TKO-Knee,2,1:02
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Waldo Cortes-Acosta,Waldo Cortes-Acosta,Chase Sherman,0-0,147-66,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Muslim Salikhov,Muslim Salikhov,Andre Fialho,0-0,56-17,1-0,0-0,Welterweight,KO/TKO-Kick,3,1:03
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Jack Della Maddalena,Jack Della Maddalena,Danny Roberts,2-0,33-5,0-0,0-0,Welterweight,KO/TKO-Punches,1,3:24
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Charles Johnson,Charles Johnson,Zhalgas Zhumagulov,0-0,115-119,0-1,0-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Jennifer Maia,Jennifer Maia,Maryna Moroz,0-0,109-80,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Miles Johns,Miles Johns,Vince Morales,0-0,38-39,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Ricky Turcios,Ricky Turcios,Kevin Natividad,0-1,68-41,2-7,1-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Vanessa Demopoulos,Vanessa Demopoulos,Maria Oliveira,1-0,55-83,2-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Brady Hiestand,Brady Hiestand,Fernie Garcia,0-0,19-21,3-1,1-1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Natalia Silva,Natalia Silva,Tereza Bleda,1-0,45-18,0-1,0-2,Women's Flyweight,KO/TKO-Spinning-Back-Kick,3,1:27
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Alex Pereira,Alex Pereira,Israel Adesanya,0-0,91-86,1-1,0-0,Middleweight,KO/TKO-Punches,5,2:01
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Zhang Weili,Zhang Weili,Carla Esparza,0-0,37-6,0-1,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,2,1:05
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Dustin Poirier,Dustin Poirier,Michael Chandler,0-0,38-43,0-3,2-0,Lightweight,SUB-Rear-Naked-Choke,3,2:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Chris Gutierrez,Chris Gutierrez,Frankie Edgar,1-0,10-2,0-0,0-0,Bantamweight,KO/TKO-Knee,1,2:01
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Dan Hooker,Dan Hooker,Claudio Puelles,1-0,29-5,0-0,1-1,Lightweight,KO/TKO-Kick,2,4:06
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Renato Moicano,Renato Moicano,Brad Riddell,0-0,10-14,0-0,1-0,Lightweight,SUB-Rear-Naked-Choke,1,3:20
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Ryan Spann,Ryan Spann,Dominick Reyes,1-0,8-5,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:20
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Erin Blanchfield,Erin Blanchfield,Molly McCann,0-0,25-7,1-0,2-0,Women's Flyweight,SUB-Kimura,1,3:37
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Andre Petroski,Andre Petroski,Wellington Turman,0-0,42-41,8-1,2-1,Middleweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Matt Frevola,Matt Frevola,Ottman Azaitar,1-0,11-10,0-0,0-0,Lightweight,KO/TKO-Punch,1,2:30
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Karolina Kowalkiewicz,Karolina Kowalkiewicz,Silvana Gomez Juarez,0-0,74-77,2-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Michael Trizano,Michael Trizano,SeungWoo Choi,2-1,32-26,0-0,0-0,Featherweight,KO/TKO-Punch,1,4:51
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Montel Jackson,Montel Jackson,Julio Arce,1-0,48-26,0-1,0-0,Bantamweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Carlos Ulberg,Carlos Ulberg,Nicolae Negumereanu,1-0,14-2,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:44
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Amanda Lemos,Amanda Lemos,Marina Rodriguez,0-0,29-19,1-0,1-0,Women's Strawweight,KO/TKO-Punches,3,0:54
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Neil Magny,Neil Magny,Daniel Rodriguez,0-0,57-66,5-0,1-0,Welterweight,SUB-D'Arce-Choke,3,3:33
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Shayilan Nuerdanbieke,Shayilan Nuerdanbieke,Darrick Minner,1-0,19-5,0-0,0-0,Featherweight,KO/TKO-Elbows,1,1:07
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Tagir Ulanbekov,Tagir Ulanbekov,Nate Maness,0-0,4-4,1-0,1-0,Flyweight,SUB-Guillotine-Choke,1,2:11
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Grant Dawson,Grant Dawson,Mark Madsen,1-0,33-15,2-0,2-0,Lightweight,SUB-Rear-Naked-Choke,3,2:05
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Miranda Maverick,Miranda Maverick,Shanna Young,0-0,63-29,5-0,1-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Mario Bautista,Mario Bautista,Benito Lopez,0-0,44-17,1-0,3-0,Bantamweight,SUB-Triangle-Armbar,1,4:54
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Polyana Viana,Polyana Viana,Jinh Yu Frey,1-0,11-6,0-0,0-0,Women's Strawweight,KO/TKO-Punches,1,0:47
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Johnny Munoz,Johnny Munoz,Liudvik Sholinian,0-0,78-56,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Jake Hadley,Jake Hadley,Carlos Candelario,0-0,90-69,0-1,1-0,Flyweight,SUB-Triangle-Choke,2,2:39
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Tamires Vidal,Tamires Vidal,Ramona Pascual,1-0,17-13,0-0,0-0,Women's Bantamweight,KO/TKO-Flying-Knee,1,3:06
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Arnold Allen,Arnold Allen,Calvin Kattar,0-0,28-14,0-0,0-0,Featherweight,KO/TKO,2,0:08
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Max Griffin,Max Griffin,Tim Means,1-0,42-47,3-3,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Waldo Cortes-Acosta,Waldo Cortes-Acosta,Jared Vanderaa,0-0,73-56,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Tresean Gore,Tresean Gore,Josh Fremd,0-0,10-24,3-0,1-0,Middleweight,SUB-Guillotine-Choke,2,0:49
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Khalil Rountree Jr.,Khalil Rountree Jr.,Dustin Jacoby,0-0,85-120,0-0,0-0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Roman Dolidze,Roman Dolidze,Phil Hawes,1-0,18-11,0-1,1-0,Middleweight,KO/TKO-Punches,1,4:09
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Marcos Rogerio de Lima,Marcos Rogerio de Lima,Andrei Arlovski,1-0,6-2,0-0,1-0,Heavyweight,SUB-Rear-Naked-Choke,1,1:50
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",JunYong Park,JunYong Park,Joseph Holmes,0-0,18-20,2-0,2-0,Middleweight,SUB-Rear-Naked-Choke,2,3:04
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Steve Garcia,Steve Garcia,Chase Hooper,3-0,29-10,0-0,0-0,Featherweight,KO/TKO-Punches,1,1:32
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Cody Durden,Cody Durden,Carlos Mota,0-0,17-12,4-0,0-1,Flyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Christian Rodriguez,Christian Rodriguez,Joshua Weems,0-0,9-18,0-2,1-0,Bantamweight,SUB-Anaconda-Choke,1,4:07
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Islam Makhachev,Islam Makhachev,Charles Oliveira,1-0,30-19,2-0,1-0,Lightweight,SUB-Arm-Triangle,2,3:16
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Aljamain Sterling,Aljamain Sterling,TJ Dillashaw,0-0,72-8,5-0,2-0,Bantamweight,KO/TKO-Punches,2,3:44
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Sean O'Malley,Sean O'Malley,Petr Yan,0-0,84-58,0-6,0-0,Bantamweight,S-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Beneil Dariush,Beneil Dariush,Mateusz Gamrot,1-0,59-33,0-4,0-0,Lightweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Manon Fiorot,Manon Fiorot,Katlyn Cerminara,0-0,98-76,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Belal Muhammad,Belal Muhammad,Sean Brady,0-0,80-58,0-0,0-0,Welterweight,KO/TKO-Punches,2,4:47
